시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,089860,롯데렌탈,Industrials,49650,0,1802761114200,25994,1289523325,3.1153,7.4675,79.5660,56.8720,없음,2.42724612,MSS7-S1-1.0.0
한국,105560,KB금융,Financials,173200,-1.42,61431915528800,679189,118050253200,-1.9808,6.1925,14.0975,17.9033,없음,2.40523485,MSS7-S1-1.0.0
한국,138040,메리츠금융지주,Financials,125600,-2.56,21018817488800,148894,18766875350,0.4800,8.8388,21.3527,18.3789,없음,2.38758860,MSS7-S1-1.0.0
한국,108490,로보티즈,Industrials,301000,0.33,4414775428000,212086,64227738500,-2.5890,21.6162,17.8082,16.2162,없음,2.38525684,MSS7-S1-1.0.0
한국,018000,유니슨,Industrials,1290,3.61,376566579330,3416198,4348748190,5.3922,35.2201,42.3841,-18.8679,없음,2.38017850,MSS7-S1-1.0.0
한국,354320,알멕,Materials,42200,12.68,269716278200,281298,11503556250,20.9169,39.2739,22.3188,-3.2110,없음,2.36858660,MSS7-S1-1.0.0
한국,356680,엑스게이트,Technology,18220,10.16,520062424240,17809737,337423854550,6.6121,59.2657,-18.4787,162.5360,없음,2.36474589,MSS7-S1-1.0.0
한국,443060,HD현대마린솔루션,Other,239000,-1.65,10715196940000,57461,13867663450,1.0571,15.7385,9.1324,32.9255,없음,2.36202216,MSS7-S1-1.0.0
한국,062040,산일전기,Utilities,205500,0.24,6297105675000,124718,25446226750,4.6867,24.4700,-7.8475,34.4895,없음,2.35453632,MSS7-S1-1.0.0
한국,041520,이엘씨,Technology,12590,1.21,153456110700,13395,165790290,7.6068,15.3987,55.2404,41.7793,없음,2.34998926,MSS7-S1-1.0.0
한국,048910,대원미디어,Other,7090,6.46,89184727140,125302,867050445,9.5827,28.4420,58.4358,-8.2794,없음,2.34598867,MSS7-S1-1.0.0
한국,440110,파두,Technology,81600,12.86,4089059803200,1278892,103099823600,37.6054,31.6129,-5.4461,44.1696,없음,2.34312607,MSS7-S1-1.0.0
한국,028050,삼성E&A,Other,49350,-3.61,9672600000000,2237039,110184302725,-2.2772,10.1563,12.2867,46.0059,없음,2.33890286,MSS7-S1-1.0.0
한국,055550,신한지주,Financials,109300,-3.45,51310911122700,895919,98782914050,-2.4978,5.8083,14.2111,21.4444,없음,2.33887445,MSS7-S1-1.0.0
한국,024900,디와이덕양,Industrials,2220,5.21,72294255600,535244,1184070323,11.5578,31.2833,23.4705,8.8235,없음,2.33642133,MSS7-S1-1.0.0
한국,006120,SK디스커버리,Financials,60300,4.87,1050049185300,51651,3048621800,8.6486,18.2353,37.0455,2.2034,없음,2.33428383,MSS7-S1-1.0.0
한국,039030,이오테크닉스,Industrials,481500,1.69,5931863325000,71864,34260840000,2.8846,24.0979,-1.0277,13.6954,없음,2.32708974,MSS7-S1-1.0.0
한국,457370,한켐,Materials,11290,-0.96,91077942860,341585,3901627765,16.0329,28.5877,7.9350,31.1266,없음,2.31856340,MSS7-S1-1.0.0
한국,303810,동국생명과학,Healthcare,2800,-7.74,89555592000,13244896,40239591092,21.2121,25.0000,13.8211,-14.6341,없음,2.31584489,MSS7-S1-1.0.0
한국,319660,피에스케이,Industrials,144800,10.62,4194380187200,561095,79081592600,11.8147,15.5626,-14.6730,81.4536,없음,2.30459490,MSS7-S1-1.0.0
한국,484120,도우인시스,Technology,23800,4.85,260786643600,119147,2876085225,30.9851,27.3408,48.1021,16.3814,없음,2.29672440,MSS7-S1-1.0.0
한국,316140,우리금융지주,Financials,35350,-1.12,26045404789950,1398444,49731421325,-2.6171,10.6416,20.8547,9.4427,없음,2.28793822,MSS7-S1-1.0.0
한국,001520,동양,Other,1153,-0.69,123511702896,852077,985760535,10.7589,7.9588,103.7102,41.6462,없음,2.28496190,MSS7-S1-1.0.0
한국,053610,프로텍,Industrials,76000,3.83,684000000000,53852,4062226100,21.9904,29.9145,-5.8240,40.2214,없음,2.28274007,MSS7-S1-1.0.0
한국,078930,GS,Financials,110700,0.09,10283531296500,342032,37659704500,-1.1607,-3.4031,67.4735,63.5155,없음,2.27861611,MSS7-S1-1.0.0
한국,290550,디케이티,Technology,22300,4.45,446027429000,235256,5181342725,32.3442,38.3375,15.4842,12.0603,없음,2.27463700,MSS7-S1-1.0.0
한국,078350,한양디지텍,Technology,27650,-2.47,421507162300,367261,9990468800,55.2499,31.6667,17.9104,5.3333,없음,2.26797917,MSS7-S1-1.0.0
한국,017890,한국알콜,Materials,15390,6.88,318165257340,247462,3784050130,8.9172,15.1946,36.9217,35.1185,없음,2.26794231,MSS7-S1-1.0.0
한국,044490,태웅,Industrials,38100,-4.27,762281216100,180731,6886414950,2.1448,36.0714,25.9504,-20.4593,없음,2.26089277,MSS7-S1-1.0.0
한국,053350,이니텍,Technology,4560,0.44,100416056400,47748,214896790,2.4719,17.8295,93.6306,44.7619,없음,2.25743855,MSS7-S1-1.0.0
한국,044820,코스맥스비티아이,Financials,26150,3.77,251142534150,17100,442780975,2.5490,11.9914,56.3060,63.9498,없음,2.25618461,MSS7-S1-1.0.0
