시장,종목코드,종목명,현재실행점수,추세근거,유동성근거,이전추천우선권,상태
한국,052860,아이앤씨,3.872998,1주=-2.3022;1개월=23.9051;3개월=67.6543;6개월=71.2484,시가총액=121315938660;거래대금=155523760,없음,2단계
한국,017890,한국알콜,3.865670,1주=8.9172;1개월=15.1946;3개월=36.9217;6개월=35.1185,시가총액=318165257340;거래대금=3784050130,없음,2단계
한국,006120,SK디스커버리,3.860835,1주=8.6486;1개월=18.2353;3개월=37.0455;6개월=2.2034,시가총액=1050049185300;거래대금=3048621800,없음,2단계
한국,071200,인피니트헬스케어,3.843414,1주=-9.0769;1개월=25.7447;3개월=81.8462;6개월=86.4353,시가총액=288366133560;거래대금=576330100,없음,2단계
한국,489460,바이오비쥬,3.841190,1주=3.2815;1개월=12.4060;3개월=116.2749;6개월=39.8830,시가총액=176449312520;거래대금=916186350,없음,2단계
한국,437730,삼현,3.839891,1주=4.8485;1개월=61.4308;3개월=32.3980;6개월=0.5814,시가총액=1645622727300;거래대금=21317535800,없음,2단계
한국,005320,온타이드,3.828521,1주=3.2520;1개월=72.5543;3개월=28.1534;6개월=154.0000,시가총액=43418563150;거래대금=200378067,없음,2단계
한국,140410,메지온,3.826775,1주=14.0083;1개월=27.0479;3개월=38.1513;6개월=-5.8419,시가총액=2517101602800;거래대금=10914246150,없음,2단계
한국,180640,한진칼,3.825782,1주=3.3186;1개월=15.3086;3개월=22.8947;6개월=15.4988,시가총액=9353394727500;거래대금=9869157150,없음,2단계
한국,159010,아스플로,3.822702,1주=39.5785;1개월=49.0745;3개월=55.5324;6개월=458.0524,시가총액=397375222200;거래대금=27126742900,없음,2단계
한국,332570,PS일렉트로닉스,3.791356,1주=4.3735;1개월=1.8454;3개월=48.1544;6개월=63.8219,시가총액=405655524490;거래대금=11456121240,없음,2단계
한국,066360,체리부로,3.783085,1주=1.6293;1개월=123.4328;3개월=109.9579;6개월=42.4358,시가총액=35892082479;거래대금=52066461,없음,2단계
미국,GOOGL,Alphabet Inc. Class A Common Stock,2.669175,최근일변화=1.341,시가총액=4187062800000;거래량=23777396,없음,2단계
미국,AMZN,Amazon.com Inc. Common Stock,2.654344,최근일변화=0.044,시가총액=2689890878585;거래량=33040160,없음,2단계
미국,GOOG,Alphabet Inc. Class C Capital Stock,2.610123,최근일변화=1.203,시가총액=4146092300000;거래량=15965035,없음,2단계
미국,NVDA,NVIDIA Corporation Common Stock,2.577026,최근일변화=-0.412,시가총액=5412378000000;거래량=77808203,없음,2단계
미국,MU,Micron Technology Inc. Common Stock,2.484376,최근일변화=0.807,시가총액=1220343181450;거래량=22070294,없음,2단계
미국,AMD,Advanced Micro Devices Inc. Common Stock,2.479947,최근일변화=2.384,시가총액=1027251244929;거래량=25319550,없음,2단계
미국,BAC,Bank of America Corporation Common Stock,2.413641,최근일변화=0.054,시가총액=391803690891;거래량=40990268,없음,2단계
미국,AAPL,Apple Inc. Common Stock,2.397146,최근일변화=-0.326,시가총액=4902476945600;거래량=24733329,없음,2단계
미국,CSCO,Cisco Systems Inc. Common Stock (DE),2.389819,최근일변화=0.507,시가총액=421738517805;거래량=32362244,없음,2단계
미국,PLTR,Palantir Technologies Inc. Class A Common Stock,2.351384,최근일변화=0.417,시가총액=462611479713;거래량=22675964,없음,2단계
미국,NFLX,Netflix Inc. Common Stock,2.321295,최근일변화=0.504,시가총액=298637753563;거래량=28224058,없음,2단계
미국,XOM,ExxonMobil Holdings Corporation Common Stock,2.316574,최근일변화=0.564,시가총액=666705405194;거래량=12484958,없음,2단계
미국,MSFT,Microsoft Corporation Common Stock,2.300105,최근일변화=-0.531,시가총액=3697401866334;거래량=16657760,없음,2단계
미국,JPM,JP Morgan Chase & Co. Common Stock,2.273945,최근일변화=0.305,시가총액=899955518179;거래량=6941751,없음,2단계
미국,T,AT&T Inc.,2.273248,최근일변화=0.593,시가총액=174393214793;거래량=34217821,없음,2단계
미국,PFE,Pfizer Inc. Common Stock,2.265118,최근일변화=0.816,시가총액=161927726663;거래량=34774778,없음,2단계
미국,KO,Coca-Cola Company (The) Common Stock,2.244597,최근일변화=0.011,시가총액=379054588308;거래량=13169076,없음,2단계
미국,TSLA,Tesla Inc. Common Stock,2.237455,최근일변화=-0.574,시가총액=1492691942088;거래량=26166375,없음,2단계
미국,AVGO,Broadcom Inc. Common Stock,2.221188,최근일변화=-1.304,시가총액=1672488959501;거래량=20930805,없음,2단계
미국,VZ,Verizon Communications Inc. Common Stock,2.219792,최근일변화=1.72,시가총액=196603962559;거래량=21043704,없음,2단계
미국,JNJ,Johnson & Johnson Common Stock,2.215023,최근일변화=0.561,시가총액=652311352236;거래량=6323739,없음,2단계
미국,CVX,Chevron Corporation Common Stock,2.205402,최근일변화=0.068,시가총액=406317362498;거래량=9387794,없음,2단계
미국,WBD,Warner Bros. Discovery Inc. Series A Common Stock,2.201828,최근일변화=0.26,시가총액=77430090204;거래량=46110292,없음,2단계
미국,INTC,Intel Corporation Common Stock,2.194704,최근일변화=3.907,시가총액=673265005006;거래량=119297039,없음,2단계
미국,SPCX,Space Exploration Technologies Corp. Class A Common Stock,2.177369,최근일변화=-0.222,시가총액=2009184785149;거래량=72721710,없음,2단계
미국,WFC,Wells Fargo & Company Common Stock,2.174365,최근일변화=0.342,시가총액=248512265432;거래량=12235786,없음,2단계
미국,META,Meta Platforms Inc. Class A Common Stock,2.168715,최근일변화=4.501,시가총액=1980915365498;거래량=34809622,없음,2단계
미국,V,Visa Inc.,2.164209,최근일변화=1.787,시가총액=657490187696;거래량=4417589,없음,2단계
미국,LLY,Eli Lilly and Company Common Stock,2.151258,최근일변화=2.685,시가총액=1112580501553;거래량=2418807,없음,2단계
미국,APH,Amphenol Corporation Common Stock,2.140777,최근일변화=1.083,시가총액=204872531215;거래량=11712129,없음,2단계
미국,CRM,Salesforce Inc. Common Stock,2.126457,최근일변화=0.269,시가총액=196055060000;거래량=11073961,없음,2단계
미국,C,Citigroup Inc. Common Stock,2.107954,최근일변화=0.129,시가총액=221589399034;거래량=8648713,없음,2단계
미국,BMY,Bristol-Myers Squibb Company Common Stock,2.106625,최근일변화=0.572,시가총액=125626951344;거래량=14902838,없음,2단계
미국,HPE,Hewlett Packard Enterprise Company Common Stock,2.103225,최근일변화=1.909,시가총액=84320562762;거래량=21472929,없음,2단계
미국,ABBV,AbbVie Inc. Common Stock,2.080929,최근일변화=0.015,시가총액=468498134599;거래량=3458170,없음,2단계
미국,UNH,UnitedHealth Group Incorporated Common Stock (DE),2.077201,최근일변화=1.002,시가총액=336607043573;거래량=4652207,없음,2단계
미국,DIS,Walt Disney Company (The) Common Stock,2.067020,최근일변화=2.03,시가총액=182269069375;거래량=7886127,없음,2단계
미국,TJX,TJX Companies Inc. (The) Common Stock,2.039012,최근일변화=0.03,시가총액=144789585649;거래량=8134248,없음,2단계
미국,BSX,Boston Scientific Corporation Common Stock,2.034651,최근일변화=0.134,시가총액=64751575222;거래량=17297544,없음,2단계
미국,BKNG,Booking Holdings Inc. Common Stock,2.032955,최근일변화=0.969,시가총액=118274804505;거래량=9501590,없음,2단계
미국,MA,Mastercard Incorporated Common Stock,2.021195,최근일변화=1.1,시가총액=495891706835;거래량=2165628,없음,2단계
미국,ORCL,Oracle Corporation Common Stock,2.020885,최근일변화=-3.473,시가총액=421932121440;거래량=56629447,없음,2단계
미국,SMCI,Super Micro Computer Inc. Common Stock,2.014150,최근일변화=0.169,시가총액=27270633090;거래량=34885564,없음,2단계
미국,DHR,Danaher Corporation Common Stock,2.011331,최근일변화=0.997,시가총액=157307189304;거래량=6196751,없음,2단계
