시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
한국,105560,KB금융,Financials,0.8113037116,0.8227232366,0.7500,0.6667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,425420,티에프이,Technology,0.8863744541,0.8188205330,1.0000,0.8283,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,044450,KSS해운,Industrials,0.8455215043,0.8158574883,1.0000,0.6765,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,078350,한양디지텍,Technology,0.8465039602,0.8148310421,1.0000,0.6869,균형=1;의심수익률=1주,MSS7.1-S2-KR-1.0.0
한국,096530,씨젠,Healthcare,0.8457458997,0.8139078399,1.0000,0.8667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,055550,신한지주,Financials,0.8017885525,0.8115963759,0.7500,0.6333,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,077500,유니퀘스트,Industrials,0.8536433207,0.8113478359,1.0000,0.7353,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,039030,이오테크닉스,Industrials,0.8528048859,0.8111721928,0.7500,0.7206,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,488280,에스투더블유,Technology,0.8235137772,0.8104447179,1.0000,0.5960,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,290550,디케이티,Technology,0.8635047014,0.8074785041,1.0000,0.7576,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,030530,원익홀딩스,Materials,0.9095052519,0.8057656577,0.7500,1.0000,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,062040,산일전기,Utilities,0.8513156240,0.8054164455,0.7500,0.7500,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,316140,우리금융지주,Financials,0.8113783368,0.8035149004,0.7500,0.7000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,060370,LS마린솔루션,Technology,0.8513445944,0.8004744131,1.0000,0.7172,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,006260,LS,Financials,0.8337441491,0.7994992484,0.7500,0.8000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,006120,SK디스커버리,Financials,0.8568110343,0.7993219331,1.0000,0.8667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,108490,로보티즈,Industrials,0.8203269172,0.7964685765,0.7500,0.5441,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,332570,PS일렉트로닉스,Technology,0.8152834261,0.7926739676,1.0000,0.5657,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,086790,하나금융지주,Financials,0.7928606474,0.7912354519,0.7500,0.5000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,017890,한국알콜,Materials,0.8338203367,0.7906595083,1.0000,0.8333,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,161890,한국콜마,Materials,0.8042121274,0.7889300170,0.7500,0.6667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,114810,한솔아이원스,Industrials,0.8293431592,0.7866413683,1.0000,0.6176,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,007660,이수페타시스,Technology,0.9013589798,0.7864939435,0.7500,0.9192,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,219130,타이거일렉,Technology,0.8596033485,0.7861441649,1.0000,0.7374,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,032580,피델릭스,Technology,0.8279678570,0.7838740056,1.0000,0.6263,균형=1;의심수익률=1주|6개월,MSS7.1-S2-KR-1.0.0
한국,007340,DN오토모티브,Other,0.8130655614,0.7836148108,1.0000,0.6857,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,402340,SK스퀘어,Financials,0.8585963942,0.7753650329,0.7500,0.9000,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,031980,피에스케이홀딩스,Industrials,0.8418964630,0.7753318660,0.7500,0.6471,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,484120,도우인시스,Technology,0.8428364778,0.7715351225,1.0000,0.6768,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,020560,아시아나항공,Industrials,0.8464078144,0.7695663809,1.0000,0.6912,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,425040,티이엠씨,Materials,0.8220655349,0.7693386323,0.7500,0.7667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,009150,삼성전기,Technology,0.8679906781,0.7678786672,0.7500,0.7879,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,068930,디지털대성,Other,0.8144760038,0.7670397631,1.0000,0.7143,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,353200,대덕전자,Technology,0.8685949385,0.7666523242,0.7500,0.7980,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,005930,삼성전자,Technology,0.8649693028,0.7660038630,0.7500,0.7677,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,005830,DB손해보험,Financials,0.7945140569,0.7637074683,0.7500,0.5333,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,034730,SK,Financials,0.8611480316,0.7612847302,0.7500,0.9333,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,006400,삼성SDI,Other,0.7529832055,0.7558324090,0.7500,0.2000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,098460,고영,Industrials,0.8093832894,0.7545923405,0.7500,0.4706,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,029460,케이씨,Technology,0.8413822984,0.7543188013,1.0000,0.6667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,036710,심텍홀딩스,Other,0.7963569009,0.7522784267,1.0000,0.5429,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,000660,SK하이닉스,Technology,0.8466219019,0.7501751533,0.7500,0.6970,균형=0;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,017900,광전자,Technology,0.7887026120,0.7496747984,0.7500,0.4141,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
미국,GOOGL,Alphabet Inc. Class A Common Stock,Technology,0.9844010614,0.9751652518,광역 다기간자료 없음,0.9516,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MU,Micron Technology Inc. Common Stock,Technology,0.9777862017,0.9720951723,광역 다기간자료 없음,0.9194,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,GOOG,Alphabet Inc. Class C Capital Stock,Technology,0.9824014405,0.9689329459,광역 다기간자료 없음,0.9355,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AMD,Advanced Micro Devices Inc. Common Stock,Technology,0.9902009098,0.9666421530,광역 다기간자료 없음,0.9677,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
