market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
KR,456010,아이씨티케이,0.841863,r1w=22.0302;r1m=39.3342;r3m=16.4948;r6m=63.0592,trading_value=35347643925,L2_PASS
KR,017900,광전자,0.834541,r1w=-5.5449;r1m=31.0345;r3m=33.1536;r6m=277.8203,trading_value=30374224915,L2_PASS
KR,077360,덕산하이메탈,0.827513,r1w=23.2645;r1m=39.0476;r3m=13.2759;r6m=17.5313,trading_value=9385748275,L2_PASS
KR,000880,한화,0.820809,r1w=-5.5919;r1m=55.1313;r3m=25.2408;r6m=13.4380,trading_value=8086377750,L2_PASS
KR,021240,코웨이,0.797190,r1w=-7.0764;r1m=2.3590;r3m=15.6431;r6m=38.0360,trading_value=23512651150,L2_PASS
KR,069540,빛과전자,0.792944,r1w=-8.8435;r1m=43.3155;r3m=56.7251;r6m=53.4351,trading_value=46349179042,L2_PASS
KR,175330,JB금융지주,0.776865,r1w=-8.4977;r1m=10.6422;r3m=26.6807;r6m=4.1451,trading_value=8850924650,L2_PASS
KR,000370,한화손해보험,0.747958,r1w=-5.8168;r1m=6.8820;r3m=30.9811;r6m=12.7407,trading_value=5236850285,L2_PASS
KR,001210,금호전기,0.730965,r1w=-11.0307;r1m=13.1034;r3m=1868.0000;r6m=1147.1483,trading_value=13450415845,L2_PASS
KR,232140,와이씨,0.843963,r1w=19.8486;r1m=44.9644;r3m=9.8689;r6m=-29.4554,trading_value=25395537070,L2_PASS
KR,036540,SFA반도체,0.928749,r1w=18.4978;r1m=96.1039;r3m=71.8699;r6m=54.9853,trading_value=64581612360,L2_PASS
KR,095340,ISC,0.819667,r1w=10.7348;r1m=37.8080;r3m=11.5486;r6m=-10.9015,trading_value=24686123500,L2_PASS
KR,058610,에스피지,0.800007,r1w=2.5458;r1m=7.1277;r3m=25.5611;r6m=-11.5114,trading_value=36610953750,L2_PASS
KR,003670,포스코퓨처엠,0.798200,r1w=-4.4102;r1m=5.2662;r3m=1.0107;r6m=-8.4012,trading_value=103101673800,L2_PASS
KR,024110,기업은행,0.792653,r1w=0.9901;r1m=0.9901;r3m=1.2407;r6m=-11.8790,trading_value=30601138000,L2_PASS
KR,047050,포스코인터내셔널,0.785546,r1w=0.9124;r1m=3.1716;r3m=9.5050;r6m=-27.1410,trading_value=20943954850,L2_PASS
KR,009150,삼성전기,0.884458,r1w=9.1238;r1m=14.3399;r3m=-23.2688;r6m=244.8513,trading_value=743457672000,L2_PASS
KR,041190,우리기술투자,0.783749,r1w=16.9884;r1m=3.2368;r3m=27.5789;r6m=-4.8666,trading_value=13012584685,L2_PASS
KR,253590,네오셈,0.777270,r1w=14.0000;r1m=35.5798;r3m=19.0601;r6m=-22.0068,trading_value=39157988275,L2_PASS
KR,064290,인텍플러스,0.875678,r1w=8.0868;r1m=67.5841;r3m=33.8217;r6m=226.7740,trading_value=14628092200,L2_PASS
KR,030200,KT,0.771708,r1w=-0.1894;r1m=0.3810;r3m=1.9342;r6m=-11.1298,trading_value=9472487350,L2_PASS
KR,125490,한라캐스트,0.770251,r1w=10.7960;r1m=11.1009;r3m=31.7737;r6m=-27.1360,trading_value=15990083485,L2_PASS
KR,032820,우리기술,0.769104,r1w=0.3096;r1m=9.8305;r3m=2.0472;r6m=-52.0887,trading_value=38512949155,L2_PASS
KR,000990,DB하이텍,0.866737,r1w=5.6000;r1m=51.5499;r3m=-13.3858;r6m=58.2734,trading_value=54022998350,L2_PASS
KR,192650,드림텍,0.863047,r1w=18.8467;r1m=79.0254;r3m=88.1960;r6m=18.6798,trading_value=7092574680,L2_PASS
KR,000660,SK하이닉스,0.859517,r1w=5.8556;r1m=11.4303;r3m=-27.8295;r6m=88.8438,trading_value=5480333530143,L2_PASS
