시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,의심수익률,1단계선별점수,산식버전
한국,000990,DB하이텍,Technology,132000,0.99,5742605616000,413298,54022998350,5.6000,51.5499,-13.3858,58.2734,없음,0.8650414361,MSS7.1-S1-KR-1.0.0
한국,005930,삼성전자,Technology,285500,3.25,1669112542584000,20864376,5926486634990,12.6233,11.0895,-16.1527,50.5008,없음,0.8649693028,MSS7.1-S1-KR-1.0.0
한국,290550,디케이티,Technology,22300,4.45,446027429000,235256,5181342725,32.3442,38.3375,15.4842,12.0603,없음,0.8635047014,MSS7.1-S1-KR-1.0.0
한국,066570,LG전자,Technology,209000,-3.46,34042889342000,546536,114955326500,4.5000,4.6046,2.2005,82.8521,없음,0.8629930098,MSS7.1-S1-KR-1.0.0
한국,950260,인제니아테라퓨틱스(Reg.S),Healthcare,24400,4.05,1206448410800,3339114,79268095725,55.5131,61.0561,,,1주,0.8623263518,MSS7.1-S1-KR-1.0.0
한국,012210,삼미금속,Industrials,12440,-8.12,286761642760,2694919,33897534795,13.7112,71.1142,56.6751,-12.3944,없음,0.8614670602,MSS7.1-S1-KR-1.0.0
한국,034730,SK,Financials,611000,3.91,44299151533000,129962,78403933000,10.8893,11.2933,-14.1854,77.8748,없음,0.8611480316,MSS7.1-S1-KR-1.0.0
한국,240810,원익IPS,Industrials,133700,2.61,6562517563700,2584001,353053961450,11.9765,25.6579,-11.2218,-0.7424,없음,0.8609434973,MSS7.1-S1-KR-1.0.0
한국,319660,피에스케이,Industrials,144800,10.62,4194380187200,561095,79081592600,11.8147,15.5626,-14.6730,81.4536,없음,0.8603652305,MSS7.1-S1-KR-1.0.0
한국,006340,대원전선,Other,13490,-1.24,1057810471840,1548933,21037840590,5.8870,4.7360,20.6619,146.1679,없음,0.8599893843,MSS7.1-S1-KR-1.0.0
한국,219130,타이거일렉,Technology,80800,5.07,510194632000,37792,2999571350,8.0214,27.6461,28.6624,146.7176,없음,0.8596033485,MSS7.1-S1-KR-1.0.0
한국,402340,SK스퀘어,Financials,1190000,5.03,156989557620000,963292,1132505220813,16.6667,10.5948,-33.8521,100.0000,없음,0.8585963942,MSS7.1-S1-KR-1.0.0
한국,001440,대한전선,Other,30950,-2.06,6065970846200,3032595,94512213125,10.9319,15.9176,-9.3704,6.9085,없음,0.8584517915,MSS7.1-S1-KR-1.0.0
한국,115440,우리넷,Technology,12120,29.9,130826819040,7090222,79614736675,25.3361,72.4040,41.4236,22.4242,당일,0.8576580129,MSS7.1-S1-KR-1.0.0
한국,006120,SK디스커버리,Financials,60300,4.87,1050049185300,51651,3048621800,8.6486,18.2353,37.0455,2.2034,없음,0.8568110343,MSS7.1-S1-KR-1.0.0
한국,452260,한화갤러리아,Consumer,2765,1.65,536021821650,1576380,4369612785,5.9387,42.1594,30.4245,8.0078,없음,0.8564993968,MSS7.1-S1-KR-1.0.0
한국,340450,지씨지놈,Other,8180,12.21,193463486740,1188856,9428923255,21.5453,51.7625,83.2027,9.7987,없음,0.8553398852,MSS7.1-S1-KR-1.0.0
한국,443060,HD현대마린솔루션,Other,239000,-1.65,10715196940000,57461,13867663450,1.0571,15.7385,9.1324,32.9255,없음,0.8548224020,MSS7.1-S1-KR-1.0.0
한국,253590,네오셈,Industrials,13680,3.64,600130163520,2779052,39157988275,14.0000,35.5798,19.0601,-22.0068,없음,0.8547023103,MSS7.1-S1-KR-1.0.0
한국,160190,하이젠알앤엠,Utilities,29400,2.08,908107200000,187457,5506787800,22.7557,60.4803,28.3843,-23.8342,없음,0.8540001108,MSS7.1-S1-KR-1.0.0
한국,077500,유니퀘스트,Industrials,9190,7.61,198504937380,805775,7224549385,25.0340,33.3817,47.0400,48.2258,없음,0.8536433207,MSS7.1-S1-KR-1.0.0
한국,039030,이오테크닉스,Industrials,481500,1.69,5931863325000,71864,34260840000,2.8846,24.0979,-1.0277,13.6954,없음,0.8528048859,MSS7.1-S1-KR-1.0.0
한국,079370,제우스,Industrials,12850,15.25,398568321500,2179697,27640500285,27.4802,33.5759,30.7223,-21.6941,없음,0.8526260756,MSS7.1-S1-KR-1.0.0
한국,357780,솔브레인,Materials,370000,9.79,2878069420000,58240,21147802750,11.1111,12.1212,9.6296,-13.3489,없음,0.8514179755,MSS7.1-S1-KR-1.0.0
한국,060370,LS마린솔루션,Technology,33650,1.51,1757837437100,165986,5527330800,4.1796,9.9673,32.4803,11.4238,없음,0.8513445944,MSS7.1-S1-KR-1.0.0
한국,062040,산일전기,Utilities,205500,0.24,6297105675000,124718,25446226750,4.6867,24.4700,-7.8475,34.4895,없음,0.8513156240,MSS7.1-S1-KR-1.0.0
한국,138040,메리츠금융지주,Financials,125600,-2.56,21018817488800,148894,18766875350,0.4800,8.8388,21.3527,18.3789,없음,0.8510207139,MSS7.1-S1-KR-1.0.0
한국,203650,드림시큐리티,Technology,2790,3.72,283755510360,15868736,46055512140,4.6904,38.1188,9.6267,72.9696,없음,0.8488855581,MSS7.1-S1-KR-1.0.0
한국,354320,알멕,Materials,42200,12.68,269716278200,281298,11503556250,20.9169,39.2739,22.3188,-3.2110,없음,0.8479833924,MSS7.1-S1-KR-1.0.0
한국,000660,SK하이닉스,Technology,1862000,1.2,1360176783630000,2947714,5480333530143,5.8556,11.4303,-27.8295,88.8438,없음,0.8466219019,MSS7.1-S1-KR-1.0.0
한국,078350,한양디지텍,Technology,27650,-2.47,421507162300,367261,9990468800,55.2499,31.6667,17.9104,5.3333,1주,0.8465039602,MSS7.1-S1-KR-1.0.0
한국,020560,아시아나항공,Industrials,8360,-0.12,1722082343960,276249,2326716815,6.9054,18.2461,15.1515,19.4286,없음,0.8464078144,MSS7.1-S1-KR-1.0.0
한국,096530,씨젠,Healthcare,34000,-0.58,1588969668000,164325,5598570650,4.7766,5.7543,26.1596,52.8090,없음,0.8457458997,MSS7.1-S1-KR-1.0.0
한국,044450,KSS해운,Industrials,11860,17.89,267769446500,892666,10471908500,16.9625,17.7756,26.3046,10.9448,없음,0.8455215043,MSS7.1-S1-KR-1.0.0
한국,232140,와이씨,Industrials,14250,-0.42,1169146237500,1780267,25395537070,19.8486,44.9644,9.8689,-29.4554,없음,0.8452198743,MSS7.1-S1-KR-1.0.0
한국,086450,동국제약,Healthcare,21350,4.15,965669467000,821174,17668924925,2.3981,11.1400,17.3722,17.9558,없음,0.8446145796,MSS7.1-S1-KR-1.0.0
한국,484120,도우인시스,Technology,23800,4.85,260786643600,119147,2876085225,30.9851,27.3408,48.1021,16.3814,없음,0.8428364778,MSS7.1-S1-KR-1.0.0
한국,031980,피에스케이홀딩스,Industrials,163200,3.16,3518982864000,98410,15858437050,-2.1583,48.0944,32.7909,60.7882,없음,0.8418964630,MSS7.1-S1-KR-1.0.0
한국,029460,케이씨,Technology,43350,-0.23,477740192250,35375,1531668200,8.9196,23.8571,50.7826,39.6135,없음,0.8413822984,MSS7.1-S1-KR-1.0.0
한국,356680,엑스게이트,Technology,18220,10.16,520062424240,17809737,337423854550,6.6121,59.2657,-18.4787,162.5360,없음,0.8381017643,MSS7.1-S1-KR-1.0.0
한국,072950,빛샘전자,Technology,14200,9.23,114347062000,11884891,176368464865,4.9520,66.2763,71.2907,72.1212,없음,0.8379396767,MSS7.1-S1-KR-1.0.0
한국,058610,에스피지,Utilities,100700,1.92,2233260152000,359173,36610953750,2.5458,7.1277,25.5611,-11.5114,없음,0.8350141308,MSS7.1-S1-KR-1.0.0
한국,033640,네패스,Technology,27600,0.36,636433975200,175288,4802065350,12.1951,43.9750,-2.1277,49.6746,없음,0.8345826125,MSS7.1-S1-KR-1.0.0
한국,017890,한국알콜,Materials,15390,6.88,318165257340,247462,3784050130,8.9172,15.1946,36.9217,35.1185,없음,0.8338203367,MSS7.1-S1-KR-1.0.0
한국,006260,LS,Financials,321500,-1.53,10030800000000,71796,23411934750,5.9308,11.4385,-9.0523,16.2749,없음,0.8337441491,MSS7.1-S1-KR-1.0.0
한국,042370,비츠로테크,Financials,10650,-2.92,279030266250,1606016,17549924125,21.0227,32.4627,10.3627,-8.1897,없음,0.8309016192,MSS7.1-S1-KR-1.0.0
한국,420770,기가비스,Industrials,123100,3.01,1560385809800,107431,13070939500,16.3516,17.6864,-20.9884,75.8571,없음,0.8296962661,MSS7.1-S1-KR-1.0.0
한국,114810,한솔아이원스,Industrials,14770,9.16,415674679980,479998,6917295740,20.2769,13.6154,9.8958,2.9268,없음,0.8293431592,MSS7.1-S1-KR-1.0.0
한국,295310,에이치브이엠,Materials,63100,8.42,782727609800,307985,19167763150,18.3865,40.5345,14.3116,-39.5014,없음,0.8286706856,MSS7.1-S1-KR-1.0.0
한국,419050,삼기에너지솔루션즈,Industrials,1936,20.77,110731920640,36461754,70194600212,24.1026,23.0769,33.3333,24.6619,당일,0.8285906102,MSS7.1-S1-KR-1.0.0
한국,032580,피델릭스,Technology,7020,10.55,232587089280,902516,6028527960,42.6829,88.7097,23.8095,534.1463,1주|6개월,0.8279678570,MSS7.1-S1-KR-1.0.0
한국,051160,지어소프트,Technology,12040,4.06,186312137200,161786,1947559850,21.3710,35.8916,81.8731,51.6373,없음,0.8275763799,MSS7.1-S1-KR-1.0.0
한국,053610,프로텍,Industrials,76000,3.83,684000000000,53852,4062226100,21.9904,29.9145,-5.8240,40.2214,없음,0.8260249310,MSS7.1-S1-KR-1.0.0
한국,042700,한미반도체,Industrials,243500,1.46,23208520700000,369301,89109822750,7.7434,16.5072,-9.8148,-17.8752,없음,0.8257615904,MSS7.1-S1-KR-1.0.0
한국,089860,롯데렌탈,Industrials,49650,0,1802761114200,25994,1289523325,3.1153,7.4675,79.5660,56.8720,없음,0.8240314346,MSS7.1-S1-KR-1.0.0
한국,036810,에프에스티,Technology,31200,3.31,675473416800,135388,4182082600,19.3117,38.0531,18.1818,-26.0664,없음,0.8235370296,MSS7.1-S1-KR-1.0.0
한국,488280,에스투더블유,Technology,15870,9.3,171800462820,917269,14342989940,10.5153,63.7771,15.8394,3.9293,없음,0.8235137772,MSS7.1-S1-KR-1.0.0
한국,425040,티이엠씨,Materials,12890,3.45,282586155220,950998,11994591205,29.8087,47.3143,-3.9493,24.5411,없음,0.8220655349,MSS7.1-S1-KR-1.0.0
한국,041190,우리기술투자,Financials,6060,1.34,483588000000,2165904,13012584685,16.9884,3.2368,27.5789,-4.8666,없음,0.8216479753,MSS7.1-S1-KR-1.0.0
한국,007810,코리아써키트,Technology,65100,-0.76,1561268562000,694870,44522468150,27.8978,17.7215,-33.9086,-0.1534,없음,0.8213653599,MSS7.1-S1-KR-1.0.0
한국,108490,로보티즈,Industrials,301000,0.33,4414775428000,212086,64227738500,-2.5890,21.6162,17.8082,16.2162,없음,0.8203269172,MSS7.1-S1-KR-1.0.0
한국,468530,프로티나,Healthcare,47250,18.27,524718243000,424234,19745659275,45.1613,37.5546,60.7143,-34.5568,1주,0.8200676526,MSS7.1-S1-KR-1.0.0
한국,005290,동진쎄미켐,Materials,46800,8.96,2385401896800,983950,44916292225,15.1292,11.4286,-18.4669,-2.9046,없음,0.8167271969,MSS7.1-S1-KR-1.0.0
한국,093520,매커스,Industrials,29250,3.17,348128732250,35840,1042085550,10.7955,16.3022,71.9577,24.7335,없음,0.8163015653,MSS7.1-S1-KR-1.0.0
한국,452430,사피엔반도체,Technology,40250,-1.95,332280695250,47284,1906662075,3.4704,54.2146,27.5753,21.0526,없음,0.8156705836,MSS7.1-S1-KR-1.0.0
한국,013030,하이록코리아,Materials,37700,-0.26,443659028800,38715,1464058525,10.7195,21.8094,19.4929,4.1436,없음,0.8154670046,MSS7.1-S1-KR-1.0.0
한국,332570,PS일렉트로닉스,Technology,8830,0.8,405655524490,1298694,11456121240,4.3735,1.8454,48.1544,63.8219,없음,0.8152834261,MSS7.1-S1-KR-1.0.0
한국,166090,하나머티리얼즈,Technology,58700,3.35,1160949463800,121481,7088719600,11.1742,15.3242,-2.4917,-1.0118,없음,0.8152764305,MSS7.1-S1-KR-1.0.0
한국,089970,브이엠,Industrials,62400,10.25,1642790136000,1053651,65121656950,20.2312,6.6667,-33.1190,32.9073,없음,0.8149860012,MSS7.1-S1-KR-1.0.0
한국,028050,삼성E&A,Other,49350,-3.61,9672600000000,2237039,110184302725,-2.2772,10.1563,12.2867,46.0059,없음,0.8146972241,MSS7.1-S1-KR-1.0.0
한국,080220,제주반도체,Technology,77600,2.65,2672763840800,912548,70673564200,8.5315,6.5934,-31.2666,83.2349,없음,0.8146385451,MSS7.1-S1-KR-1.0.0
한국,068930,디지털대성,Other,9600,0.31,265683283200,346267,3344629655,8.5973,15.2461,37.1429,7.2626,없음,0.8144760038,MSS7.1-S1-KR-1.0.0
한국,044490,태웅,Industrials,38100,-4.27,762281216100,180731,6886414950,2.1448,36.0714,25.9504,-20.4593,없음,0.8134539313,MSS7.1-S1-KR-1.0.0
한국,007340,DN오토모티브,Other,47900,-3.43,2802670433500,131657,6331780225,3.4557,0.2092,25.8870,22.0382,없음,0.8130655614,MSS7.1-S1-KR-1.0.0
한국,128940,한미약품,Healthcare,520000,3.59,6661715320000,126975,66420977500,3.5857,-3.7037,29.0323,1.7613,없음,0.8119042461,MSS7.1-S1-KR-1.0.0
한국,052710,아모텍,Technology,18920,-2.22,353440736000,738450,14027543800,18.2500,68.0284,-20.6709,43.2248,없음,0.8117613549,MSS7.1-S1-KR-1.0.0
한국,131970,두산테스나,Other,93700,0.32,1810962200600,200835,18652896000,19.3631,24.7670,-21.6555,-10.0768,없음,0.8116911244,MSS7.1-S1-KR-1.0.0
한국,316140,우리금융지주,Financials,35350,-1.12,26045404789950,1398444,49731421325,-2.6171,10.6416,20.8547,9.4427,없음,0.8113783368,MSS7.1-S1-KR-1.0.0
한국,105560,KB금융,Financials,173200,-1.42,61431915528800,679189,118050253200,-1.9808,6.1925,14.0975,17.9033,없음,0.8113037116,MSS7.1-S1-KR-1.0.0
한국,018000,유니슨,Industrials,1290,3.61,376566579330,3416198,4348748190,5.3922,35.2201,42.3841,-18.8679,없음,0.8095912450,MSS7.1-S1-KR-1.0.0
한국,098460,고영,Industrials,29150,0.87,1988152808950,725651,21166620900,6.7766,6.9725,-6.1192,5.6159,없음,0.8093832894,MSS7.1-S1-KR-1.0.0
한국,125490,한라캐스트,Industrials,12110,-2.34,442043482720,1287820,15990083485,10.7960,11.1009,31.7737,-27.1360,없음,0.8082560001,MSS7.1-S1-KR-1.0.0
한국,462860,더즌,Technology,3075,3.54,220686916725,2941878,9021838834,19.8830,8.8496,45.3901,-7.0997,없음,0.8080828908,MSS7.1-S1-KR-1.0.0
한국,195870,해성디에스,Technology,61200,2.51,1040400000000,191641,11748616100,6.6202,16.1290,-12.0690,11.2727,없음,0.8071099179,MSS7.1-S1-KR-1.0.0
한국,004710,한솔테크닉스,Technology,9900,0.92,525130818300,473104,4753237480,11.1111,46.0177,-15.8879,105.6075,없음,0.8069487931,MSS7.1-S1-KR-1.0.0
한국,045100,한양이엔지,Other,32150,1.74,562625000000,50870,1629391375,10.8621,11.6319,15.6475,1.5798,없음,0.8063838302,MSS7.1-S1-KR-1.0.0
한국,089030,테크윙,Industrials,49150,3.26,1821186651750,839576,41338763250,7.7851,5.3591,-1.5030,-7.7861,없음,0.8050038907,MSS7.1-S1-KR-1.0.0
한국,161890,한국콜마,Materials,147000,0.62,3469946319000,274025,40522592900,-2.0000,2.5820,70.1389,87.9795,없음,0.8042121274,MSS7.1-S1-KR-1.0.0
한국,083450,GST,Industrials,49250,0.41,907677500000,88968,4383917325,6.1422,10.3024,-2.2817,73.1107,없음,0.8037879232,MSS7.1-S1-KR-1.0.0
한국,361610,SK아이이테크놀로지,Other,17170,6.18,1404284507000,606475,10394071955,8.5335,12.1489,4.0606,-20.5093,없음,0.8035920615,MSS7.1-S1-KR-1.0.0
한국,086670,비엠티,Industrials,19310,2.99,191668839350,72907,1391517975,16.0457,27.7962,28.5619,35.9859,없음,0.8028338977,MSS7.1-S1-KR-1.0.0
한국,089890,코세스,Industrials,29050,7.2,481793146100,184644,5224898325,3.7500,26.5795,-0.1718,27.6923,없음,0.8020701405,MSS7.1-S1-KR-1.0.0
한국,298040,효성중공업,Utilities,2896000,-0.17,27003891008000,27462,78971822000,3.2074,3.7249,-13.6296,7.2195,없음,0.8020220852,MSS7.1-S1-KR-1.0.0
한국,033780,KT&G,Other,174300,-1.69,18094162480800,266604,46655668650,1.3372,0.6351,3.3808,10.5964,없음,0.8019928147,MSS7.1-S1-KR-1.0.0
한국,055550,신한지주,Financials,109300,-3.45,51310911122700,895919,98782914050,-2.4978,5.8083,14.2111,21.4444,없음,0.8017885525,MSS7.1-S1-KR-1.0.0
한국,058470,리노공업,Technology,74300,-0.93,5662540455000,1493192,110177330800,12.7466,15.0155,-12.7934,-30.7549,없음,0.8013210384,MSS7.1-S1-KR-1.0.0
한국,014680,한솔케미칼,Materials,236500,5.11,2552789514000,52460,12260214750,10.2564,15.3659,-9.5602,-15.2330,없음,0.8008944945,MSS7.1-S1-KR-1.0.0
한국,387690,레메디,Healthcare,18850,21.46,143746160350,7782429,143559536160,18.1818,57.4770,,,당일,0.8008349134,MSS7.1-S1-KR-1.0.0
한국,122640,예스티,Industrials,32000,1.91,692842400000,280589,9038182200,11.3043,12.4780,-14.6667,36.7521,없음,0.7992108548,MSS7.1-S1-KR-1.0.0
한국,032830,삼성생명,Financials,294500,1.2,58900000000000,223073,65745880000,3.8801,3.1524,-31.9861,32.6577,없음,0.7974972610,MSS7.1-S1-KR-1.0.0
한국,016360,삼성증권,Financials,91100,0.44,8135230000000,454710,41672157554,6.4252,5.1963,-15.2558,-3.6998,없음,0.7967360146,MSS7.1-S1-KR-1.0.0
한국,036710,심텍홀딩스,Other,4485,7.81,236932476690,1031664,4525650119,11.0149,12.6884,6.4057,69.2453,없음,0.7963569009,MSS7.1-S1-KR-1.0.0
한국,018260,삼성에스디에스,Technology,220500,-2.43,17061804900000,94796,20918339250,1.3793,-3.2895,16.1749,40.3565,없음,0.7947764174,MSS7.1-S1-KR-1.0.0
한국,078340,컴투스,Technology,34950,-0.14,422591389350,51019,1771994875,3.2496,10.0787,46.8487,10.4265,없음,0.7946208198,MSS7.1-S1-KR-1.0.0
한국,005830,DB손해보험,Financials,184600,-0.7,12091364425400,164514,30306492000,-1.2834,2.2715,34.4501,0.4899,없음,0.7945140569,MSS7.1-S1-KR-1.0.0
한국,417030,니어스랩,Technology,35700,4.23,206258749200,340494,12026237750,33.9587,24.6073,,,없음,0.7943939467,MSS7.1-S1-KR-1.0.0
한국,003350,한국화장품제조,Materials,15850,5.25,359161000000,1291081,20120648085,6.0201,35.2389,112.1821,-64.3420,없음,0.7937250543,MSS7.1-S1-KR-1.0.0
