market,symbol,name,fresh_score,trend_fields,liquidity_fields,prior_recommendation_priority,status
US,JPM,JP Morgan Chase & Co. Common Stock,2.250089,daily_pct=0.305,market_cap=899955518179;volume=6941751,NONE,L2_CURRENT_RUN
US,KO,Coca-Cola Company (The) Common Stock,2.230129,daily_pct=0.011,market_cap=379054588308;volume=13169076,NONE,L2_CURRENT_RUN
US,VZ,Verizon Communications Inc. Common Stock,2.212452,daily_pct=1.72,market_cap=196603962559;volume=21043704,NONE,L2_CURRENT_RUN
US,WBD,Warner Bros. Discovery Inc. Series A Common Stock,2.204606,daily_pct=0.26,market_cap=77430090204;volume=46110292,NONE,L2_CURRENT_RUN
US,JNJ,Johnson & Johnson Common Stock,2.194661,daily_pct=0.561,market_cap=652311352236;volume=6323739,NONE,L2_CURRENT_RUN
US,CVX,Chevron Corporation Common Stock,2.190181,daily_pct=0.068,market_cap=406317362498;volume=9387794,NONE,L2_CURRENT_RUN
US,WFC,Wells Fargo & Company Common Stock,2.164482,daily_pct=0.342,market_cap=248512265432;volume=12235786,NONE,L2_CURRENT_RUN
US,MSFT,Microsoft Corporation Common Stock,2.160908,daily_pct=-0.531,market_cap=3697401866334;volume=16657760,NONE,L2_CURRENT_RUN
US,V,Visa Inc.,2.143762,daily_pct=1.787,market_cap=657490187696;volume=4417589,NONE,L2_CURRENT_RUN
US,APH,Amphenol Corporation Common Stock,2.132990,daily_pct=1.083,market_cap=204872531215;volume=11712129,NONE,L2_CURRENT_RUN
US,LLY,Eli Lilly and Company Common Stock,2.125100,daily_pct=2.685,market_cap=1112580501553;volume=2418807,NONE,L2_CURRENT_RUN
US,CRM,Salesforce Inc. Common Stock,2.119148,daily_pct=0.269,market_cap=196055060000;volume=11073961,NONE,L2_CURRENT_RUN
US,TSLA,Tesla Inc. Common Stock,2.108106,daily_pct=-0.574,market_cap=1492691942088;volume=26166375,NONE,L2_CURRENT_RUN
US,HPE,Hewlett Packard Enterprise Company Common Stock,2.105077,daily_pct=1.909,market_cap=84320562762;volume=21472929,NONE,L2_CURRENT_RUN
US,BMY,Bristol-Myers Squibb Company Common Stock,2.104148,daily_pct=0.572,market_cap=125626951344;volume=14902838,NONE,L2_CURRENT_RUN
US,C,Citigroup Inc. Common Stock,2.099315,daily_pct=0.129,market_cap=221589399034;volume=8648713,NONE,L2_CURRENT_RUN
US,AVGO,Broadcom Inc. Common Stock,2.090604,daily_pct=-1.304,market_cap=1672488959501;volume=20930805,NONE,L2_CURRENT_RUN
US,META,Meta Platforms Inc. Class A Common Stock,2.086293,daily_pct=4.501,market_cap=1980915365498;volume=34809622,NONE,L2_CURRENT_RUN
US,ABBV,AbbVie Inc. Common Stock,2.064161,daily_pct=0.015,market_cap=468498134599;volume=3458170,NONE,L2_CURRENT_RUN
US,UNH,UnitedHealth Group Incorporated Common Stock (DE),2.064023,daily_pct=1.002,market_cap=336607043573;volume=4652207,NONE,L2_CURRENT_RUN
US,DIS,Walt Disney Company (The) Common Stock,2.060502,daily_pct=2.03,market_cap=182269069375;volume=7886127,NONE,L2_CURRENT_RUN
US,SPCX,Space Exploration Technologies Corp. Class A Common Stock,2.044794,daily_pct=-0.222,market_cap=2009184785149;volume=72721710,NONE,L2_CURRENT_RUN
US,BSX,Boston Scientific Corporation Common Stock,2.039370,daily_pct=0.134,market_cap=64751575222;volume=17297544,NONE,L2_CURRENT_RUN
US,TJX,TJX Companies Inc. (The) Common Stock,2.034994,daily_pct=0.03,market_cap=144789585649;volume=8134248,NONE,L2_CURRENT_RUN
US,BKNG,Booking Holdings Inc. Common Stock,2.031133,daily_pct=0.969,market_cap=118274804505;volume=9501590,NONE,L2_CURRENT_RUN
US,SMCI,Super Micro Computer Inc. Common Stock,2.028257,daily_pct=0.169,market_cap=27270633090;volume=34885564,NONE,L2_CURRENT_RUN
US,DVN,Devon Energy Corporation Common Stock,2.017639,daily_pct=1.79,market_cap=53790000000;volume=17590827,NONE,L2_CURRENT_RUN
US,DHR,Danaher Corporation Common Stock,2.006413,daily_pct=0.997,market_cap=157307189304;volume=6196751,NONE,L2_CURRENT_RUN
US,MA,Mastercard Incorporated Common Stock,2.003811,daily_pct=1.1,market_cap=495891706835;volume=2165628,NONE,L2_CURRENT_RUN
US,PM,Philip Morris International Inc Common Stock,1.991970,daily_pct=0.346,market_cap=298474473569;volume=3151332,NONE,L2_CURRENT_RUN
US,ANET,Arista Networks Inc. Common Stock,1.991320,daily_pct=1.096,market_cap=259433910094;volume=3559074,NONE,L2_CURRENT_RUN
US,COP,ConocoPhillips Common Stock,1.983864,daily_pct=0.976,market_cap=155380989534;volume=5362096,NONE,L2_CURRENT_RUN
US,ABNB,Airbnb Inc. Class A Common Stock,1.982005,daily_pct=1.21,market_cap=90650164398;volume=8597733,NONE,L2_CURRENT_RUN
US,AXP,American Express Company Common Stock,1.976816,daily_pct=1.225,market_cap=206415203555;volume=3955312,NONE,L2_CURRENT_RUN
US,ORCL,Oracle Corporation Common Stock,1.955254,daily_pct=-3.473,market_cap=421932121440;volume=56629447,NONE,L2_CURRENT_RUN
US,OXY,Occidental Petroleum Corporation Common Stock,1.943552,daily_pct=1.203,market_cap=58028949387;volume=9848599,NONE,L2_CURRENT_RUN
US,WMT,Walmart Inc. Common Stock,1.935332,daily_pct=-2.66,market_cap=853591758069;volume=26173992,NONE,L2_CURRENT_RUN
US,CVNA,Carvana Co. Class A Common Stock,1.919140,daily_pct=0.36,market_cap=70627764759;volume=6971754,NONE,L2_CURRENT_RUN
US,TMO,Thermo Fisher Scientific Inc Common Stock,1.910415,daily_pct=1.968,market_cap=250832861350;volume=2097970,NONE,L2_CURRENT_RUN
US,WELL,Welltower Inc. Common Stock,1.897726,daily_pct=1.627,market_cap=168373228003;volume=2751259,NONE,L2_CURRENT_RUN
US,COF,Capital One Financial Corporation Common Stock,1.896694,daily_pct=0.26,market_cap=120617253606;volume=3688181,NONE,L2_CURRENT_RUN
US,KHC,The Kraft Heinz Company Common Stock,1.895247,daily_pct=0.294,market_cap=28293754866;volume=13465411,NONE,L2_CURRENT_RUN
US,KEY,KeyCorp Common Stock,1.890016,daily_pct=0.049,market_cap=21609353219;volume=16552715,NONE,L2_CURRENT_RUN
US,PYPL,PayPal Holdings Inc. Common Stock,1.889706,daily_pct=0.171,market_cap=44997241972;volume=8535955,NONE,L2_CURRENT_RUN
