시장,종목코드,종목명,업종,1단계점수,2단계점수,이상치상태,2단계핵심,점수식버전
한국,009150,삼성전기,Technology,3.35122006,2.19609257,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,053350,이니텍,Technology,2.25743855,2.19251401,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,452260,한화갤러리아,Consumer,2.63001379,2.19183954,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,069920,엑시온그룹,Consumer,2.61474133,2.18496693,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,007660,이수페타시스,Technology,2.75854191,2.17978896,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,005160,동국산업,Materials,2.48457789,2.16806005,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,024900,디와이덕양,Industrials,2.33642133,2.16472293,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,443060,HD현대마린솔루션,Other,2.36202216,2.16051096,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,353200,대덕전자,Technology,2.76748814,2.15149252,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,201490,미투온,Technology,2.81366788,2.14890146,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,180640,한진칼,Financials,2.44458374,2.14672935,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,307870,비투엔,Technology,2.14525720,2.14203241,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,316140,우리금융지주,Financials,2.28793822,2.13522813,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,144960,뉴파워프라즈마,Industrials,3.41854263,2.13008478,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,217190,제너셈,Industrials,2.25485440,2.12801781,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,060370,LS마린솔루션,Technology,2.11107326,2.12664963,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,402340,SK스퀘어,Financials,3.35668011,2.10717272,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,006120,SK디스커버리,Financials,2.33428383,2.09709439,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,457370,한켐,Materials,2.31856340,2.09335353,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,375500,DL이앤씨,Industrials,2.18134811,2.08772398,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,140070,서플러스글로벌,Industrials,2.16409160,2.08717455,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,001520,동양,Other,2.28496190,2.08323285,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,095610,테스,Industrials,3.09497765,2.08170907,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,059100,아이컴포넌트,Technology,2.00643093,2.07956059,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,020560,아시아나항공,Industrials,2.14709124,2.07952439,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,122350,삼기,Industrials,2.00807120,2.07254327,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,017890,한국알콜,Materials,2.26794231,2.07057404,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,121890,에스디시스템,Technology,1.98556227,2.07016969,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,114810,한솔아이원스,Industrials,2.11513474,2.06514397,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,078340,컴투스,Technology,1.96875193,2.06260503,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,044820,코스맥스비티아이,Financials,2.25618461,2.06194974,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,027580,상보,Materials,2.20848640,2.04381888,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,489460,바이오비쥬,Materials,2.19372799,2.03717760,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,013030,하이록코리아,Materials,2.18350466,2.03257710,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,086450,동국제약,Healthcare,2.05162553,2.02072786,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,071280,로체시스템즈,Industrials,2.01240440,2.01891531,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,253590,네오셈,Industrials,2.82675712,2.01322015,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,062970,한국첨단소재,Technology,2.19140491,2.01279888,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,052860,아이앤씨,Technology,2.19089829,2.01257090,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,071200,인피니트헬스케어,Technology,2.18768648,2.01112558,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,263860,지니언스,Technology,2.17082151,2.00353635,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,068930,디지털대성,Other,2.10495302,2.00222886,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,000430,대원강업,Industrials,1.96836376,1.99909703,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,042510,라온시큐어,Technology,2.13044527,1.98536704,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,059120,아진엑스텍,Technology,1.76481584,1.97083380,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,095340,ISC,Industrials,2.86587538,1.97071312,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,036710,심텍홀딩스,Other,2.03403004,1.97031352,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,096530,씨젠,Healthcare,2.09738475,1.96715647,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
