market,symbol,name,level1_score,screen_evidence,status
KR,001210,금호전기,0.730965,r1m=13.1034;r3m=1868.0000;r6m=1147.1483;liquidity=13450415845,L2_PASS
KR,036540,SFA반도체,0.928749,r1m=96.1039;r3m=71.8699;r6m=54.9853;liquidity=64581612360,L2_PASS
KR,009150,삼성전기,0.884458,r1m=14.3399;r3m=-23.2688;r6m=244.8513;liquidity=743457672000,L2_PASS
KR,064290,인텍플러스,0.875678,r1m=67.5841;r3m=33.8217;r6m=226.7740;liquidity=14628092200,L2_PASS
KR,000990,DB하이텍,0.866737,r1m=51.5499;r3m=-13.3858;r6m=58.2734;liquidity=54022998350,L2_PASS
KR,192650,드림텍,0.863047,r1m=79.0254;r3m=88.1960;r6m=18.6798;liquidity=7092574680,L2_PASS
KR,000660,SK하이닉스,0.859517,r1m=11.4303;r3m=-27.8295;r6m=88.8438;liquidity=5480333530143,L2_PASS
KR,000150,두산,0.847970,r1m=39.3548;r3m=-2.1359;r6m=31.3640;liquidity=118116220500,L2_PASS
KR,232140,와이씨,0.843963,r1m=44.9644;r3m=9.8689;r6m=-29.4554;liquidity=25395537070,L2_PASS
KR,437730,삼현,0.840827,r1m=61.4308;r3m=32.3980;r6m=0.5814;liquidity=21317535800,L2_PASS
KR,001440,대한전선,0.836342,r1m=15.9176;r3m=-9.3704;r6m=6.9085;liquidity=94512213125,L2_PASS
KR,062040,산일전기,0.830113,r1m=24.4700;r3m=-7.8475;r6m=34.4895;liquidity=25446226750,L2_PASS
KR,005930,삼성전자,0.827747,r1m=11.0895;r3m=-16.1527;r6m=50.5008;liquidity=5926486634990,L2_PASS
KR,039030,이오테크닉스,0.823766,r1m=24.0979;r3m=-1.0277;r6m=13.6954;liquidity=34260840000,L2_PASS
KR,034730,SK,0.821714,r1m=11.2933;r3m=-14.1854;r6m=77.8748;liquidity=78403933000,L2_PASS
KR,095340,ISC,0.819667,r1m=37.8080;r3m=11.5486;r6m=-10.9015;liquidity=24686123500,L2_PASS
